DATE,NoDur,Durbl,Manuf,Enrgy,Chems,BusEq,Telcm,Utils,Shops,Hlth ,Money,Other
192607,31.93,53.05,38.2,84.59,48.94,81.67,350.36,81.22,39.19,25.52,18.83,56.23
192608,32.35,61.05,39.49,83.49,52.73,84.19,353.27,86.81,39.13,25.8,18.88,57.33
192609,33.55,62.94,40.24,86.27,55.42,85.82,360.96,85.01,38.76,26.73,19.67,59.61
192610,33.69,65.75,40.01,82.94,57.89,84.73,364.16,86.41,38.77,26.87,19.36,59.56
192611,33.2,60.18,38.64,82.19,55.12,80.11,363.74,83.92,37.79,26.54,18.35,57.75
192612,35.16,58.76,39.9,81.69,57.91,83.95,369.65,86.7,40.02,27.81,19.35,58.7
192701,35.17,64.38,41.11,85.19,59.73,81.66,371.52,86.12,40.19,27.62,19.67,60.19
192702,35.61,63.63,40.85,86.11,59.73,80.98,378.52,84.41,39.06,28.85,19.18,61.61
192703,36.68,68.73,42.53,86.96,65.41,84.7,393.55,87.9,40.28,29.16,19.68,64.54
192704,37.36,69.66,42.45,81.29,68.72,84.35,500.46,87.84,40.05,29.4,19.85,65.63
192705,38.56,71.7,42.41,76.9,70.45,89.58,489.8,89.13,41.58,30.03,20.41,66.06
192706,41.6,74.97,44.97,80.21,73.35,96.35,506.18,97,42.51,31.08,22.43,69.91
192707,39.42,67.29,43.21,85.18,71.92,80.85,421.56,100.48,39.24,33.05,24.08,65.14
192708,41.26,75.92,47.89,87.49,84.03,91.62,437.31,105.48,43,36.12,25.66,68.83
192709,42.3,80.69,49.1,86.93,85.54,97.7,439.17,108.73,45.98,36.02,26.04,67.75
192710,44.56,85.09,50.97,89.49,90.18,97.83,462.04,117.36,49.36,37.99,27.5,70.44
192711,42.32,81.24,48.34,87.42,83.76,95.49,452.37,111.96,46.81,39.62,28.62,67.33
192712,45.12,84.82,53.59,90.69,90.44,106.08,465.15,118.67,52.09,40.86,30.86,70.64
192801,46.13,91.22,55.31,90.6,90.12,107.54,465.55,120.98,51.66,40.55,34.07,71.13
192802,46.33,88.04,54.85,88.78,89.55,107.02,466.92,127.73,51.1,41.46,34.55,70.11
192803,44.25,88.53,53.5,88.11,90.42,106.03,465.52,131.36,50.33,34.35,33.54,68.5
192804,45.9,112.7,56.67,92.54,101.22,129.09,468.84,139.7,54.5,37.75,36.63,72.16
192805,45.63,114.21,57.7,106.44,101.11,132.05,592,154.57,54.28,38.56,39.87,74.79
192806,45.94,119.28,59.74,100.33,103.8,134.19,631.15,156.5,57.52,41.86,40.72,74.43
192807,42.82,112.49,55.63,96.24,100.36,128.64,644.26,154.49,52.7,62.28,46.84,73.42
192808,43.9,115.79,56.7,97.14,102.2,128.57,636.03,152.09,55.47,63.68,46.96,72.9
192809,46.44,125.67,61.01,99,110.98,142.84,664.99,161.4,62.81,72.5,49.38,75.98
192810,46.75,135.35,63.04,104.02,115.77,143.84,657.74,167.22,62.84,71.51,46.68,76.4
192811,47.09,135.29,65.38,106.03,121.51,146.6,677.23,163.61,66.45,71.46,47.87,75.68
192812,50.28,139.75,73.34,123.6,136.24,178.29,722.45,199.02,76.41,74.61,52.62,82.91
192901,49.95,140.82,75.38,118.03,138.53,191.57,711.49,201.74,75.33,86.73,55.57,82.71
192902,51.54,142.5,80.58,108.91,168.5,213.68,806.64,227.83,72.3,89.6,60.15,86.91
192903,49.95,141.59,84.19,108.33,167.51,217.62,797.33,222.83,70.35,89.08,63.37,86.59
192904,47.38,138.71,82.72,119.6,160.81,228.19,823.33,215.35,66.65,87.52,62.32,84.23
192905,48.43,137.18,84.07,120.36,166.41,232.55,851.22,232.08,68.93,88.71,62.6,84.5
192906,46.37,115.26,74.9,113.11,153.48,234.04,776.59,242.71,62.87,81.19,60.52,84.31
192907,47.72,114.14,82.97,110.63,183.9,264.02,864.12,352.91,66.62,85.62,82.69,90.93
192908,49.15,110.52,86.14,110.65,192.56,288.89,982.32,384.67,67.14,87.74,89.65,96.4
