DATE,NoDur,Durbl,Manuf,Enrgy,Chems,BusEq,Telcm,Utils,Shops,Hlth ,Money,Other
192607,89,37,107,51,21,17,5,21,41,7,12,99
192608,89,37,107,51,21,17,5,21,41,7,12,99
192609,89,37,107,50,21,17,5,21,41,7,12,99
192610,89,37,107,50,21,17,5,21,41,7,12,99
192611,89,37,107,50,21,17,5,21,41,7,12,99
192612,88,37,107,50,21,17,5,21,41,7,11,99
192701,88,37,107,49,21,17,5,21,41,7,11,99
192702,86,37,107,49,21,17,5,21,41,7,11,98
192703,86,37,107,49,21,17,5,21,41,7,11,98
192704,86,37,107,49,21,17,4,21,41,7,11,97
192705,86,37,107,49,21,17,4,21,41,7,11,97
192706,86,37,106,49,21,17,4,21,41,7,11,97
192707,97,43,109,55,21,18,5,23,46,7,15,105
192708,97,43,108,55,21,18,5,23,46,7,15,105
192709,97,43,108,55,21,18,5,23,46,7,15,105
192710,96,43,108,55,21,18,5,23,46,7,15,105
192711,95,43,106,55,21,17,5,23,46,7,15,105
192712,95,43,106,55,21,17,5,23,46,7,15,104
192801,94,43,106,55,21,17,5,23,46,7,15,104
192802,94,43,106,55,21,17,5,23,46,7,15,104
192803,94,43,105,55,21,17,5,22,46,6,15,104
192804,94,43,105,55,21,17,5,22,46,6,15,104
192805,94,43,105,55,21,17,4,22,46,6,15,104
192806,94,43,105,55,21,17,4,22,45,6,15,104
192807,105,45,119,56,21,18,4,23,51,6,17,103
192808,104,44,119,56,21,18,4,23,51,6,17,103
192809,104,44,119,56,21,18,4,23,51,6,17,103
192810,104,44,119,56,21,18,4,23,51,6,16,103
192811,104,44,119,56,21,18,4,23,51,6,16,103
192812,103,44,119,56,21,18,4,23,51,6,16,103
192901,102,43,119,56,21,18,4,23,51,5,15,103
192902,102,43,119,56,21,18,4,23,51,5,15,103
192903,102,43,119,56,21,17,4,23,51,5,14,103
192904,102,43,119,56,21,17,4,23,51,5,14,103
192905,101,43,119,56,21,17,4,22,51,5,14,103
192906,101,43,119,56,21,17,4,22,51,5,14,103
192907,122,50,147,61,23,19,4,23,61,6,21,110
192908,122,50,146,61,23,19,4,23,61,6,21,110
192909,122,50,145,61,23,19,4,23,61,6,20,110
192910,121,50,145,60,23,19,4,22,61,6,19,109
192911,120,50,145,60,23,19,4,22,61,6,19,109
192912,119,50,145,60,23,19,4,22,61,6,19,107
193001,119,50,145,59,23,19,4,22,61,6,18,107
193002,118,49,145,59,23,19,4,22,61,6,18,107
193003,118,49,144,59,23,19,4,22,61,5,18,107
193004,117,49,143,58,23,19,4,22,61,5,18,106
193005,117,49,143,58,23,19,4,22,61,5,18,106
193006,116,48,142,58,23,19,4,22,61,4,18,105
193007,117,53,167,59,30,26,4,23,70,5,29,113
193008,117,53,167,58,30,26,4,23,70,5,29,113
193009,117,53,167,57,30,26,4,23,70,5,29,113
193010,117,53,166,56,30,26,4,23,70,5,29,113
193011,117,52,166,56,30,26,4,23,70,5,29,111
193012,117,52,166,56,30,26,4,23,70,5,29,111
193101,117,52,164,56,30,26,4,23,70,5,29,109
193102,117,52,162,56,30,26,4,23,70,5,29,109
193103,116,52,162,56,30,26,4,23,70,5,29,108
193104,116,52,162,56,30,25,4,23,70,5,29,108
193105,116,51,162,56,30,25,4,23,70,5,29,108
193106,116,51,162,56,30,25,4,23,70,5,29,107
193107,119,51,172,57,33,25,4,23,72,6,31,109
193108,119,51,172,57,33,25,4,23,72,6,31,108
193109,119,51,172,57,33,25,4,22,72,6,31,108
193110,118,51,172,57,32,25,4,22,72,6,31,107
193111,118,51,172,57,32,25,4,22,72,6,31,107
193112,118,50,170,57,32,25,4,22,72,6,31,106
193201,118,50,170,57,32,25,4,22,72,6,31,106
193202,118,50,170,57,32,25,4,22,72,6,31,106
193203,117,50,170,57,31,25,4,22,71,6,31,106
193204,116,50,170,56,31,25,4,22,71,6,30,104
193205,115,50,170,55,31,25,4,22,70,6,29,104
193206,113,50,170,55,31,25,4,22,68,6,27,104
193207,113,51,171,54,33,24,4,22,69,6,27,105
193208,111,50,171,54,33,24,4,22,69,6,27,105
193209,110,50,171,53,33,24,4,22,69,6,27,105
193210,110,50,171,53,33,24,4,22,69,6,27,105
193211,109,50,171,53,33,24,4,22,69,6,27,105
193212,108,50,170,53,33,24,4,22,69,6,27,104
193301,108,50,170,53,33,24,4,22,69,6,27,104
193302,107,50,170,53,33,24,4,22,68,6,27,104
193303,107,49,170,53,32,24,4,22,68,6,27,104
193304,107,49,170,53,32,24,4,22,68,6,27,104
193305,107,49,168,53,32,24,4,22,68,6,27,104
193306,107,47,166,52,32,24,4,22,66,6,27,104
193307,109,47,170,54,32,26,4,22,66,6,28,109
193308,109,47,170,54,32,26,4,21,66,6,28,109
193309,109,47,170,54,32,26,4,21,66,6,28,108
193310,109,47,170,54,32,26,4,21,66,6,28,108
193311,109,47,170,54,32,26,4,21,66,6,28,108
193312,109,47,170,54,32,25,4,21,66,6,28,108
193401,109,47,170,54,32,25,4,21,66,6,27,108
193402,109,47,170,54,32,25,4,21,66,6,27,108
193403,109,47,170,54,32,25,4,21,66,6,27,108
193404,109,47,170,54,32,25,4,21,66,6,27,108
193405,109,47,169,53,32,25,4,21,66,6,27,108
193406,109,47,169,53,32,25,4,21,66,6,27,108
193407,110,47,169,54,32,26,4,21,68,9,29,112
193408,110,47,169,54,32,26,4,21,68,9,29,112
193409,110,47,169,54,32,26,4,21,68,9,29,112
193410,110,47,168,54,32,26,4,21,68,9,27,110
193411,110,47,167,54,32,26,4,21,68,9,27,110
193412,110,47,167,54,32,26,4,21,68,9,27,110
193501,110,47,167,54,32,26,4,21,68,9,27,109
193502,110,45,167,54,32,26,4,21,68,9,27,109
193503,110,45,167,54,32,26,4,21,68,9,27,109
193504,110,44,167,54,32,26,4,21,68,9,27,109
193505,110,44,167,54,32,26,4,21,68,9,27,108
193506,110,44,167,54,32,26,4,21,68,9,27,108
193507,109,46,169,54,32,25,4,21,69,9,28,110
193508,109,46,168,54,32,25,4,21,69,9,28,110
193509,108,46,168,54,32,25,4,21,69,9,27,109
193510,108,46,167,54,32,25,4,21,69,9,27,109
193511,108,46,167,54,32,25,4,21,69,9,27,109
193512,108,46,167,53,32,25,4,21,69,9,27,109
193601,108,46,167,53,32,25,4,21,69,9,27,109
193602,108,46,167,52,32,25,4,21,69,9,27,109
193603,107,46,167,52,32,25,4,21,68,9,27,109
193604,107,46,167,52,31,25,4,21,68,9,27,109
193605,107,46,167,52,31,25,4,21,67,9,27,109
193606,107,46,167,52,31,25,4,21,67,9,27,109
193607,119,49,179,54,33,26,4,21,70,10,29,113
193608,119,49,178,54,33,26,4,21,70,10,29,112
193609,119,49,178,54,33,26,4,21,70,10,29,112
193610,119,49,177,53,33,26,4,21,70,10,29,111
193611,119,49,177,53,33,26,4,21,70,10,29,111
193612,119,49,177,52,33,26,4,21,70,10,29,111
193701,119,48,177,52,33,26,4,21,70,10,26,111
193702,119,48,177,52,33,26,4,21,70,10,26,111
193703,119,48,177,51,33,26,4,21,70,10,26,111
193704,119,48,175,51,33,26,4,21,70,10,26,111
193705,119,48,175,51,33,26,4,21,70,10,26,111
193706,119,48,175,51,33,26,4,21,70,10,26,111
193707,124,52,193,53,34,29,4,22,74,12,31,113
193708,124,52,193,53,34,29,4,22,74,12,31,113
193709,124,52,193,52,34,29,4,22,74,12,31,113
193710,124,52,193,52,34,29,4,22,74,12,31,113
193711,124,52,193,52,34,29,4,22,74,12,31,113
193712,124,52,193,52,34,29,4,22,74,12,31,113
193801,124,52,193,52,34,29,4,22,74,12,31,113
193802,124,52,193,52,34,29,4,22,74,12,31,113
193803,124,52,193,52,34,29,4,22,74,12,31,113
193804,124,52,193,52,34,29,4,22,74,12,31,112
193805,124,52,192,52,34,29,4,22,73,12,31,111
193806,124,52,192,52,34,29,4,22,73,12,31,111
193807,126,53,202,54,36,29,5,23,74,12,33,114
193808,125,53,201,54,36,29,5,23,73,12,33,113
193809,125,53,201,53,36,29,5,23,73,12,33,113
193810,125,53,201,53,36,29,5,23,73,12,33,112
193811,125,53,201,53,36,29,5,23,73,12,32,112
193812,125,53,201,52,36,29,5,23,72,12,32,109
193901,125,53,201,52,36,29,5,23,72,12,32,109
193902,125,53,201,52,36,29,5,23,72,12,32,109
193903,125,53,201,52,36,29,5,23,72,12,32,109
193904,125,53,201,52,36,29,5,23,72,12,31,109
193905,124,53,201,52,36,29,5,23,72,12,31,109
193906,124,53,201,52,36,29,5,23,72,12,31,108
193907,124,53,203,52,37,29,6,23,73,12,30,108
193908,124,53,203,52,37,29,6,23,73,12,30,106
193909,124,53,202,52,37,29,6,23,73,12,30,104
193910,124,53,202,52,37,29,6,23,73,12,29,104
193911,124,53,202,52,37,29,6,23,73,12,29,103
193912,124,53,202,52,37,29,6,23,73,12,29,103
194001,124,53,202,51,37,29,6,23,73,12,29,103
194002,124,53,202,51,37,29,6,23,73,12,29,103
194003,124,53,202,51,37,29,6,23,73,12,29,103
194004,124,53,202,51,37,29,6,23,73,12,29,103
194005,123,52,202,51,37,29,6,23,73,12,29,103
194006,123,52,202,51,37,29,6,23,73,12,29,103
194007,125,55,209,51,39,29,6,24,74,13,30,108
194008,124,55,209,51,39,29,6,24,74,13,30,107
194009,124,55,209,51,39,29,6,24,74,13,30,105
194010,124,55,209,51,39,29,6,24,74,13,30,104
194011,124,55,209,51,39,29,6,24,74,13,30,104
194012,123,54,209,50,39,29,6,24,74,13,30,104
194101,123,54,209,50,39,29,6,24,74,13,30,104
194102,123,54,209,49,39,29,6,24,74,13,30,104
194103,123,54,209,49,39,29,6,24,74,13,30,104
194104,123,54,209,49,39,29,6,24,74,13,30,104
194105,123,54,209,49,39,29,6,24,74,13,30,104
194106,123,54,209,49,39,29,6,24,74,13,30,103
194107,124,54,215,50,40,30,7,27,75,13,31,107
194108,124,54,215,50,40,30,7,27,75,13,31,106
194109,124,54,215,50,40,30,7,27,75,13,31,106
194110,124,54,215,50,40,30,7,27,75,13,31,106
194111,124,54,215,50,40,30,7,27,75,13,31,105
194112,124,54,215,50,40,30,7,27,75,13,31,105
