DATE,NoDur,Durbl,Manuf,Enrgy,Chems,BusEq,Telcm,Utils,Shops,Hlth ,Money,Other
1926,0.76,0.54,1.09,0.92,0.7,0.5,0.77,0.77,0.45,0.68,0.78,1.35
1927,0.63,0.43,1,1.08,0.51,0.52,0.73,0.71,0.44,0.51,0.72,1.25
1928,0.51,0.28,0.77,0.93,0.38,0.39,0.64,0.57,0.35,0.22,0.51,1.17
1929,0.48,0.29,0.49,0.8,0.23,0.19,0.55,0.31,0.29,0.26,0.52,0.98
1930,0.64,0.65,0.86,1,0.39,0.32,0.54,0.37,0.61,0.42,1.15,1.29
1931,0.76,0.74,1.41,1.69,0.55,0.56,0.77,0.51,0.76,0.4,1.27,1.96
1932,1.68,3.08,5.61,3.37,1.69,2.26,2.1,1.71,2.02,1.1,4.55,10.34
1933,0.66,0.66,1.39,1.46,0.53,0.72,1.13,0.94,0.81,0.39,1.28,2.98
1934,0.72,0.67,1.51,1.4,0.45,0.79,1.25,1.45,0.74,0.3,1.51,3.1
1935,0.68,0.59,1.37,1.32,0.42,0.66,1.12,1.51,0.74,0.33,1.47,3.52
1936,0.65,0.32,0.88,0.81,0.32,0.44,0.81,1.03,0.64,0.31,0.96,2.43
1937,0.67,0.43,0.68,0.84,0.29,0.37,0.86,1.31,0.64,0.29,0.78,2.28
1938,0.81,0.65,1.04,1.19,0.4,0.48,0.96,1.56,0.82,0.31,1,3.61
1939,0.79,0.62,1.16,1.54,0.39,0.56,0.86,1.19,0.74,0.27,1.07,3.93
1940,0.89,0.62,1.24,1.82,0.39,0.63,0.86,1.18,0.84,0.33,1.21,3.82
1941,0.94,0.7,1.18,1.51,0.4,0.62,0.9,1.69,0.87,0.43,1.33,3.38
1942,1.1,0.77,1.53,1.81,0.53,0.78,1.27,2.49,1.1,0.46,1.55,3.85
1943,0.8,0.53,1.14,1.1,0.4,0.48,0.9,1.5,0.72,0.34,1.08,2.42
1944,0.75,0.48,1.08,1.14,0.42,0.49,0.81,1.4,0.7,0.34,1.05,2.4
1945,0.65,0.45,0.92,1.04,0.4,0.46,0.76,1.1,0.6,0.38,0.89,1.84
1946,0.5,0.43,0.7,0.84,0.32,0.5,0.66,0.83,0.42,0.24,0.72,1.52
1947,0.7,0.57,1.02,0.95,0.4,0.57,0.85,0.97,0.63,0.44,0.96,2.4
1948,0.87,0.57,0.95,0.81,0.43,0.56,0.9,0.98,0.66,0.48,0.9,2.19
1949,0.91,0.84,1.32,1.27,0.53,0.82,1.06,1.04,0.81,0.54,0.96,2.94
1950,0.88,0.64,1.17,1.12,0.41,0.65,0.94,0.85,0.77,0.45,0.87,2.81
1951,0.88,0.7,1.04,0.83,0.36,0.6,0.95,0.85,0.74,0.38,0.85,2.27
1952,0.94,0.6,1.02,0.69,0.39,0.56,0.94,0.71,0.76,0.43,0.74,1.97
1953,0.96,0.65,1.08,0.85,0.44,0.6,0.94,0.78,0.86,0.58,0.78,2.11
1954,0.97,0.59,0.91,0.82,0.37,0.4,0.89,0.67,0.8,0.52,0.65,2.12
1955,0.82,0.41,0.58,0.62,0.27,0.32,0.79,0.61,0.61,0.42,0.6,1.34
1956,0.86,0.43,0.54,0.54,0.29,0.32,0.83,0.63,0.62,0.37,0.63,1.5
1957,0.94,0.5,0.62,0.53,0.33,0.29,0.9,0.66,0.73,0.31,0.65,1.75
1958,0.82,0.6,0.73,0.66,0.39,0.37,0.85,0.59,0.67,0.28,0.62,1.95
1959,0.66,0.43,0.52,0.69,0.28,0.24,0.66,0.55,0.51,0.18,0.56,1.49
1960,0.57,0.54,0.59,0.89,0.33,0.23,0.61,0.51,0.49,0.19,0.71,1.78
1961,0.44,0.56,0.57,0.74,0.33,0.24,0.5,0.47,0.47,0.19,0.58,1.46
1962,0.59,0.57,0.79,0.81,0.45,0.34,0.62,0.54,0.57,0.28,0.71,2.03
1963,0.55,0.4,0.7,0.61,0.36,0.27,0.53,0.45,0.5,0.27,0.56,1.41
1964,0.51,0.37,0.63,0.55,0.32,0.23,0.47,0.45,0.43,0.26,0.6,1.08
1965,0.51,0.36,0.62,0.57,0.33,0.27,0.54,0.45,0.4,0.23,0.67,1.15
1966,0.54,0.42,0.54,0.6,0.38,0.23,0.67,0.53,0.48,0.2,0.77,0.87
1967,0.5,0.46,0.52,0.58,0.4,0.19,0.66,0.56,0.46,0.18,0.68,0.81
1968,0.43,0.43,0.49,0.54,0.4,0.17,0.74,0.57,0.37,0.18,0.49,0.72
1969,0.48,0.49,0.55,0.56,0.45,0.21,0.74,0.65,0.4,0.21,0.61,0.8
1970,0.62,0.69,0.82,0.93,0.57,0.37,1.02,0.87,0.59,0.25,0.91,1.16
1971,0.46,0.46,0.62,0.69,0.41,0.28,0.91,0.74,0.37,0.2,0.7,0.79
1972,0.43,0.47,0.55,0.78,0.38,0.25,1,0.87,0.34,0.18,0.69,0.67
1973,0.57,0.65,0.65,0.7,0.4,0.32,0.96,0.93,0.51,0.2,0.83,0.77
1974,0.74,0.89,0.84,0.94,0.47,0.49,1.2,1.5,0.64,0.26,1.16,1
1975,0.71,0.89,0.85,0.85,0.48,0.49,1.16,1.22,0.63,0.29,0.99,0.88
1976,0.7,0.72,0.79,0.82,0.52,0.43,1.13,1.22,0.63,0.37,1.03,0.88
1977,0.75,0.79,0.92,0.85,0.68,0.5,1.08,1.1,0.74,0.48,1.05,0.93
1978,0.76,0.93,0.99,1.08,0.79,0.51,1.22,1.28,0.78,0.45,1.12,0.96
1979,0.85,1.03,1.01,0.89,0.86,0.5,1.3,1.36,0.88,0.49,1.08,0.93
1980,0.86,1.25,1.08,0.69,0.85,0.58,1.5,1.36,0.92,0.49,1.17,0.9
1981,0.76,0.97,0.91,0.8,0.78,0.52,1.38,1.45,0.76,0.41,1.06,0.71
1982,0.85,1.06,1.36,1.29,1.13,0.68,1.55,1.56,0.86,0.48,1.4,1.07
1983,0.59,0.6,0.83,1.05,0.76,0.34,1.18,1.33,0.46,0.34,0.94,0.6
1984,0.62,0.75,0.9,1.09,0.89,0.47,1.18,1.56,0.59,0.46,1.16,0.78
1985,0.5,0.74,0.78,1.06,0.79,0.5,0.85,1.21,0.5,0.38,0.88,0.67
1986,0.34,0.66,0.62,1.08,0.53,0.45,0.75,1.07,0.37,0.28,0.68,0.53
1987,0.35,0.57,0.52,0.74,0.43,0.38,0.72,1.09,0.36,0.25,0.74,0.44
1988,0.41,0.82,0.58,0.85,0.52,0.49,0.76,1.23,0.5,0.31,0.81,0.63
1989,0.33,0.95,0.62,0.77,0.53,0.56,0.56,1.11,0.45,0.28,0.75,0.52
1990,0.33,1.05,0.59,0.68,0.48,0.51,0.54,1.09,0.4,0.21,0.82,0.52
1991,0.31,1.09,0.64,0.7,0.5,0.58,0.62,1.1,0.37,0.19,0.81,0.57
1992,0.31,0.8,0.59,0.71,0.43,0.51,0.58,0.97,0.35,0.21,0.68,0.51
