DATE,NoDur,Durbl,Manuf,Enrgy,Chems,BusEq,Telcm,Utils,Shops,Hlth ,Money,Other
1926,0.78,0.56,1.05,0.88,0.71,0.51,0.87,0.78,0.38,0.73,0.72,1.33
1927,0.66,0.5,1.05,1.02,0.58,0.61,0.8,0.94,0.48,0.57,0.77,1.46
1928,0.54,0.34,0.78,1.01,0.42,0.44,0.71,0.68,0.38,0.32,0.56,1.21
1929,0.46,0.26,0.59,0.79,0.31,0.28,0.67,0.46,0.27,0.25,0.57,1.05
1930,0.6,0.56,0.76,0.96,0.37,0.3,0.6,0.4,0.53,0.39,1.22,1.15
1931,0.79,0.76,1.26,1.44,0.52,0.64,0.79,0.55,0.87,0.46,1.61,1.77
1932,1.09,1.26,2.92,3,0.88,1.12,1.34,0.93,1.04,0.55,2.47,4.18
1933,1.52,1.52,3.56,2.74,1.02,1.44,1.43,1.11,1.74,0.63,2.21,6.86
1934,0.84,0.6,1.46,1.38,0.45,0.79,1.25,1.55,0.86,0.37,1.67,3.37
1935,0.7,0.57,1.35,1.37,0.46,0.77,1.33,1.93,0.74,0.33,1.65,3.12
1936,0.66,0.37,1.01,0.81,0.36,0.46,0.88,1.15,0.68,0.32,1.01,2.81
1937,0.6,0.36,0.71,0.81,0.27,0.34,0.75,0.96,0.55,0.25,0.61,2.18
1938,0.88,0.78,1.15,1.27,0.44,0.56,0.95,1.65,0.98,0.35,1.06,3.37
1939,0.75,0.48,0.8,1.21,0.34,0.41,0.88,1.17,0.74,0.28,0.88,2.57
1940,0.74,0.48,0.93,1.44,0.33,0.48,0.79,1.09,0.71,0.28,0.94,2.83
1941,0.93,0.57,1.07,1.67,0.39,0.6,0.85,1.33,0.83,0.4,1.16,3.82
1942,1.04,0.89,1.39,1.64,0.48,0.86,1.1,2.34,1.05,0.45,1.72,4.14
1943,1.12,0.75,1.49,1.5,0.48,0.73,1.12,2.55,1.05,0.42,2.53,3.98
1944,0.88,0.61,1.25,1.22,0.46,0.58,0.85,1.55,0.82,0.37,1.24,3.04
1945,0.77,0.51,1.07,1.15,0.44,0.54,0.81,1.48,0.68,0.42,1.18,2.45
